,collector,country,un_subregion,so_region,age_range,age_midpoint,gender,self_identification,occupation,occupation_group,experience_range,experience_midpoint,salary_range,salary_midpoint,big_mac_index,tech_do,tech_want,aliens,programming_ability,employment_status,industry,company_size_range,team_size_range,women_on_team,remote,job_satisfaction,job_discovery,dev_environment,commit_frequency,hobby,dogs_vs_cats,desktop_os,unit_testing,rep_range,visit_frequency,why_learn_new_tech,education,open_to_new_job,new_job_value,job_search_annoyance,interview_likelihood,how_to_improve_interview_process,star_wars_vs_star_trek,agree_tech,agree_notice,agree_problemsolving,agree_diversity,agree_adblocker,agree_alcohol,agree_loveboss,agree_nightcode,agree_legacy,agree_mars,important_variety,important_control,important_sameend,important_newtech,important_buildnew,important_buildexisting,important_promotion,important_companymission,important_wfh,important_ownoffice,developer_challenges,why_stack_overflow
35116,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,20-24,22.0,Male,Programmer,Student,Student,2 - 5 years,3.5,Unemployed,,1.53,Android; C++; Python,C++; Haskell; Rust,No,8.0,I'm a student,,,,,,,,Notepad++; Visual Studio,I never check-in or commit code,10-20 hours per week,Cats,Windows 10,No,I don't have an account,Multiple times a day,I'm curious,I'm self-taught,"I'm not actively looking, but I am open to new opportunities",Salary; Tech stack; Work/life balance,Searching for a job that seems interesting,80%,Offer remote interviews (e.g. via video conference),,Agree completely,Agree somewhat,Agree completely,Neutral,Agree completely,Disagree completely,Neutral,Disagree somewhat,Neutral,Disagree completely,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,This is very important,I don't care about this,Inefficient development processes; Unrealistic expectations; Interacting with non-technical people,To get help for my job; To receive help on my personal projects; Beacause I love to learn
35117,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,25-29,27.0,Male,Developer; Programmer; Rockstar; Ninja; Full-stack Developer,Full-stack web developer,Full-stack web developer,2 - 5 years,3.5,"Less than $10,000",5000.0,1.53,AngularJS; C#; JavaScript; Node.js; SQL; SQL Server; Windows Phone,AngularJS; C#; JavaScript; Windows Phone,Yes,7.0,Employed full-time,Healthcare,1-4 employees,1-4 people,0,I rarely work remotely,I love my job,Contacted by company (in-house recruiter),Visual Studio,Multiple times a day,5-10 hours per week,Other (please specify),Windows 10,Yes,I'm not sure,Once a week,I want to be a better developer,I'm self-taught; On-the-job training,I am actively looking for a new job,Salary; Office location; Quality of colleagues; Building something that's significant; Flexible work hours,Finding an open job that I'm qualified for,30%,Fewer brainteasers,,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Disagree completely,Neutral,Agree completely,Disagree somewhat,Disagree completely,This is somewhat important,This is somewhat important,I don't care about this,This is very important,This is very important,This is very important,This is very important,I don't care about this,This is somewhat important,This is somewhat important,Fragile code base; Unrealistic expectations; Poor documentation; Outdated technologies; Interacting with stupid people; Unspecific requirements; Limited resources,To get help for my job; Beacause I love to learn
35118,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,20-24,22.0,Male,Engineer; Sr. Developer; Ninja,Developer with a statistics or mathematics background,"Mathematics Developers (Data Scientists, Machine Learning Devs & Devs with Stats & Math Backgrounds)",2 - 5 years,3.5,"$20,000 - $30,000",25000.0,1.53,Go; Hadoop; Haskell; Java; MongoDB; Scala; Spark,Cassandra; Clojure; Hadoop; Haskell; Java; Scala; Spark,No,10.0,Employed full-time,Software Products,10-19 employees,5-9 people,0,Full-time remote,I love my job,LinkedIn,Sublime; Vim; IntelliJ,Multiple times a day,2-5 hours per week,Cats,Mac OS X,Yes,"501 - 1,000",Once a day,To build a specific product I have in mind,I'm self-taught; Masters Degree in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Ability to make or influence important decisions; Tech stack; Building something that's significant,Searching for a job that seems interesting,60%,Be more flexible about interview scheduling,Star Wars,Agree completely,Agree completely,Agree completely,Agree completely,Neutral,Neutral,Neutral,Agree somewhat,Disagree completely,Disagree completely,This is somewhat important,This is very important,This is somewhat important,This is very important,This is very important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,,
35121,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,25-29,27.0,Male,Developer; Engineer; Programmer,Back-end web developer,Back-end web developer,2 - 5 years,3.5,"$30,000 - $40,000",35000.0,1.53,Hadoop; Java; JavaScript; Scala; SQL,Scala,No,8.0,Employed full-time,Internet,"5,000-9,999 employees",5-9 people,2,I rarely work remotely,I'm somewhat satisfied with my job,Contacted by company (in-house recruiter),Sublime; Vim; IntelliJ,Multiple times a day,5-10 hours per week,Dogs,Ubuntu,Yes,I don't have an account,Multiple times a day,I want to be a better developer,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); B.S. in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Industry; Tech stack; Opportunity for advancement; Quality of colleagues; Company culture; Flexible work hours,Writing my CV and keeping it updated,50%,Show me more live code; Show me the space in which I will work,Star Wars,Agree somewhat,Agree completely,Agree completely,Agree somewhat,Agree completely,Disagree completely,Agree somewhat,Agree somewhat,Neutral,Agree completely,This is somewhat important,I don't care about this,I don't care about this,This is very important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,I don't care about this,I don't care about this,Unrealistic expectations; Outdated technologies; Poor infrastructure or equipment,To get help for my job; To give help to others; To receive help on my personal projects; Beacause I love to learn
35123,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,20-24,22.0,Male,Developer; Engineer; Programmer,Back-end web developer,Back-end web developer,2 - 5 years,3.5,Rather not say,,1.53,C#; SQL; SQL Server,"C#; Cloud (AWS, GAE, Azure, etc.); F#; JavaScript; Node.js; Python; Rust; SQL; SQL Server; Windows Phone",Other (please specify),5.0,Freelance / Contractor,Internet,I am not part of a company,I am not on a team,"I am not on a ""team""",Part-time remote,I love my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Visual Studio,Multiple times a day,10-20 hours per week,Cats,Windows 10,Yes,2 - 100,Multiple times a day,To keep my skills up to date,"I'm self-taught; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Industry certification program; Some college coursework in Computer Science (or related field); B.S. in Computer Science (or related field); Masters Degree in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Tech stack; Company size; Work/life balance; Office location; Remote working option,The interview process,10%,Show me more live code; Introduce me to the boss; Show me the space in which I will work; Prepare me for who I will be speaking with,Star Wars,Agree somewhat,Agree completely,Agree somewhat,Agree completely,Agree somewhat,Disagree completely,Neutral,Disagree somewhat,Disagree somewhat,Disagree completely,This is somewhat important,I don't care about this,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,I don't care about this,Poor team dynamics; Inefficient development processes; Fragile code base; Poor scheduling; Unrealistic expectations; Poor documentation; Outdated technologies; Non-technical management; Unspecific requirements,To get help for my job; To give help to others; whyso_onlinepresence; To discover new job opportunities; Beacause I love to learn
35126,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,< 20,16.0,Male,Developer; Programmer,,,,,,,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35127,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,25-29,27.0,Male,Developer; Programmer; Full-stack Developer,Mobile developer,"Mobile Dev (Android, iOS, WP & Multi-Platform)",2 - 5 years,3.5,"$10,000 - $20,000",15000.0,1.53,Android; C++; iOS; MongoDB; Python,Python,Yes,7.0,Employed full-time,Gaming,100-499 employees,15-20 people,5,Never,I'm somewhat dissatisfied with my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",PyCharm; Xcode,Multiple times a day,2-5 hours per week,Cats,Mac OS X,I don't know,2 - 100,Multiple times a day,I want to be a better developer,"Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); B.A. in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Ability to make or influence important decisions; Office location; Flexible work hours,Searching for a job that seems interesting,,Be more flexible about interview scheduling; Show me the space in which I will work; Prepare me for who I will be speaking with,Star Wars,Agree somewhat,Agree somewhat,Agree somewhat,Agree completely,Agree completely,Disagree completely,Disagree completely,Agree completely,Agree somewhat,Disagree completely,This is somewhat important,This is very important,I don't care about this,This is very important,This is very important,This is very important,I don't care about this,This is somewhat important,This is somewhat important,This is somewhat important,Inefficient development processes; Unrealistic expectations; Unspecific requirements,To get help for my job; Because I can't do my job without it; Beacause I love to learn
35128,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,25-29,27.0,Male,Developer; Programmer; Rockstar; Ninja; Expert,Desktop developer,Desktop developer,6 - 10 years,8.0,"$10,000 - $20,000",15000.0,1.53,C++; MongoDB; Python,Android; Arduino / Raspberry Pi; C++; Go; MongoDB; Python,Yes,10.0,Employed full-time,Defense,"1,000-4,999 employees",10-14 people,7,Never,I'm somewhat satisfied with my job,Contacted by company (in-house recruiter),Atom,A couple times a week,10-20 hours per week,Cats,Debian,Yes,I don't have an account,Multiple times a day,I want to be a better developer,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Industry certification program; Some college coursework in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Ability to make or influence important decisions; Work/life balance; Opportunity for advancement; Quality of colleagues; Building something that's significant; Flexible work hours,Searching for a job that seems interesting,90%,Introduce me to the team,Star Wars,Agree completely,Agree somewhat,Agree completely,Neutral,Neutral,Disagree somewhat,Neutral,Agree somewhat,Agree somewhat,Disagree completely,I don't care about this,This is very important,This is somewhat important,This is very important,This is very important,This is very important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,Poor scheduling; Unrealistic expectations; Outdated technologies; Changing requirements; Limited resources,To get help for my job; To receive help on my personal projects
35129,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,< 20,16.0,Male,Programmer; Ninja,Graphics programmer,Graphics programmer,1 - 2 years,1.5,"Less than $10,000",5000.0,1.53,C; C++,Java; Objective-C; Python,No,3.0,Employed full-time,Education,I am not part of a company,I am not on a team,"I am not on a ""team""",Never,I love my job,I don't have a job,Notepad++; Visual Studio,Once a day,1-2 hours per week,Cats,Mint,I don't know,I don't have an account,Once a day,I'm curious,I'm self-taught,I am not interested in new job opportunities,Ability to make or influence important decisions,Taking time off work to interview,90%,Introduce me to the boss,Star Trek,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,Poor team dynamics,whyso_onlinepresence
35130,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,20-24,22.0,Male,Developer; Engineer; Programmer,Full-stack web developer,Full-stack web developer,2 - 5 years,3.5,"Less than $10,000",5000.0,1.53,JavaScript; LAMP; Node.js; PHP; Ruby; SQL,JavaScript; PHP; ReactJS,Yes,8.0,Employed full-time,Internet,100-499 employees,1-4 people,0,I rarely work remotely,I'm somewhat satisfied with my job,Career fair,Sublime; PhpStorm,Multiple times a day,None,Cats,Ubuntu,No,I don't have an account,Once a day,I want to be a better developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35132,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,25-29,27.0,Male,Developer; Programmer; Ninja; Full-stack Developer,Full-stack web developer,Full-stack web developer,2 - 5 years,3.5,"Less than $10,000",5000.0,1.53,AngularJS; Go; JavaScript; Node.js; Python; SQL,Go; Python,No,8.0,Employed full-time,Retail,20-99 employees,5-9 people,0,I rarely work remotely,I'm somewhat satisfied with my job,A friend referred me,Atom; Vim; IPython / Jupyter; PyCharm,Multiple times a day,None,Cats,Mint,Yes,I don't have an account,Multiple times a day,I'm curious,I'm self-taught; B.A. in Computer Science (or related field); B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Tech stack; Opportunity for advancement; Quality of colleagues,Finding time to search for a job,20%,Be more flexible about interview scheduling; Offer remote interviews (e.g. via video conference); Fewer brainteasers,Star Wars,Agree completely,Agree somewhat,Agree completely,Neutral,Agree completely,Disagree completely,Disagree somewhat,Disagree somewhat,Neutral,Disagree completely,I don't care about this,This is somewhat important,This is very important,This is very important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,I don't care about this,I don't care about this,Poor scheduling; Unrealistic expectations; Poor documentation; Interacting with non-technical people; Interacting with stupid people; Limited resources,To get help for my job; Because I can't do my job without it; Beacause I love to learn
